# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.17200001 476606.82170985 13604.74236816
0.17300001 469617.37388138 17159.81965199
0.17400001 462688.11199990 14574.67621630
0.17500001 455817.53918312 12033.58360275
0.17600001 449004.77290491 13113.18501201
0.17700001 442254.80498327 14169.84462091
0.17800001 435563.64027468 15203.34958187
0.17900001 428933.33523073 15055.56077773
0.18000001 422364.39115196 14907.35188986
0.18100001 415857.65946814 15894.08049565
0.18200001 409409.30129406 12362.11443653
0.18300001 403024.92211261 14460.53488851
0.18400001 396700.89601869 11008.45038457
0.18500001 390439.70083984 11982.59498486
0.18600001 384240.27747968 11855.73432174
0.18700001 378102.40145685 11728.73704731
0.18800001 372026.55297410 11601.64860263
0.18900001 366015.02402495 11474.57154533
0.19000001 360061.72753774 16505.23037018
0.19100001 354176.19134592 11220.30227200
0.19200001 348349.06639531 13110.11773326
0.19300001 342587.28024386 11963.14839141
0.19400001 336887.12607536 11824.73868401
0.19500001 331250.13875059 9738.75453947
0.19600001 325674.35933139 11548.41332763
0.19700001 320162.26627136 13312.34766067
0.19800001 314712.45469985 10333.58393842
0.19900001 309326.11167908 12991.69730451
0.20000001 304000.42606301 10998.73593477
0.20100001 298738.78799053 9956.96427431
0.20200001 293537.99059880 11619.70190704
0.20300001 288400.38191685 12355.07294528
0.20400001 283324.67666356 10454.68106303
0.20500001 278310.18593508 12039.69921263
0.20600001 273358.41156381 11882.89071236
0.20700001 268467.58422419 9213.80792610
0.20800001 263638.34024020 11571.08730011
0.20900001 258872.58357224 8969.93544480
0.21000001 254165.31275945 9653.19903493
0.21100001 249519.32384623 7934.71487341
0.21200001 244934.12759260 8608.21032119
0.21300001 240409.14000158 9260.56051066
0.21400001 235945.26582299 8370.15870078
0.21500001 231541.99326065 9752.54921722
0.21600001 227197.17950908 8134.79539692
0.21700001 222912.35298893 10204.92800232
0.21800001 218686.90795881 7183.86526610
0.21900001 214519.20903891 7079.13423300
0.22000001 210410.09284477 6975.09490760
0.22100001 206361.47868409 6871.83756510
0.22200001 202369.82757506 6769.27105247
0.22300001 198435.67107435 10667.90218139
0.22400001 194557.55337895 6566.31773704
0.22500001 190739.52335710 10345.71223611
0.22600001 186976.06519707 8913.14944943
0.22700001 183270.43365084 7521.41895271
0.22800001 179619.89489144 6169.94368130
0.22900001 176024.66963414 7287.42166748
0.23000001 172484.93066616 6574.26344325
0.23100001 169001.60022752 8233.75835248
0.23200001 165570.96874346 7522.71732064
0.23300001 162195.66558717 5693.06813136
0.23400001 158874.18356582 8960.50437690
0.23500001 155604.59541321 6059.24323197
0.23600001 152389.14004081 5959.17760315
0.23700001 149225.95466222 5860.10351676
0.23800001 146114.77530342 6285.85793087
0.23900001 143055.59871631 7210.00251633
0.24000001 140047.37815102 7087.79814348
0.24100001 137091.31658053 6469.33953544
0.24200001 134184.99565641 4891.04332303
0.24300001 131328.79426231 5287.29750710
0.24400001 128521.54369140 5667.80034490
0.24500001 125763.99980426 5104.76099353
0.24600001 123055.31609228 4559.19967689
0.24700001 120395.28177787 4926.57516341
0.24800001 117782.20349029 4839.08205932
0.24900001 115216.46681456 5184.74125193
0.25000001 112698.10227257 5091.70050155
0.25100001 110225.68269782 4999.83720371
0.25200001 107800.32135748 4909.22686687
0.25300001 105420.51850280 4819.82633398
0.25400001 103085.01383402 3943.00196570
0.25500001 100794.26660969 4644.60002512
0.25600001 98548.03943279  4558.83251985
0.25700001 96345.28255864  3728.56261143
0.25800001 94185.67264838  3659.11355552
0.25900001 92069.18693471  4308.83815242
0.26000001 89995.56854150  3875.65934262
0.26100001 87961.66015963  4839.65077098
0.26200001 85971.42159173  4748.20183918
0.26300001 84020.68655705  4325.38514862
0.26400001 82110.44637756  4243.05751733
0.26500001 80240.89641214  3521.77311018
0.26600001 78409.77715000  3454.34289580
0.26700001 76618.87231388  4312.11033788
0.26800001 74866.26404162  3322.93928673
0.26900001 73151.20121499  3258.88616834
0.27000001 71474.39305045  3195.97763649
0.27100001 69834.32523492  4843.70902751
0.27200001 68231.46992560  3911.71035595
0.27300001 66664.17276627  3013.88739339
0.27400001 65131.76040148  2955.35376808
0.27500001 63636.64198428  3161.46852340
0.27600001 62174.32701573  2841.67775074
0.27700001 60748.20818497  2533.20040120
0.27800001 59354.70906884  2732.39416130
0.27900001 57995.38694543  3166.54827709
0.28000001 56668.56324677  4060.58609163
0.28100001 55374.13742070  3045.02396088
0.28200001 54112.19889298  2986.18183724
0.28300001 52881.83787987  2478.04304034
0.28400001 51682.74029038  2651.32470239
0.28500001 50514.52973001  2167.07342799
0.28600001 49375.99646216  2975.89144763
0.28700001 48267.72171458  2710.71537980
0.28800001 47188.07185597  2250.16331296
0.28900001 46138.88144891  2007.04143803
0.29000001 45116.92928274  2363.22486769
0.29100001 44124.30738611  2319.17370599
0.29200001 43158.52034316  2276.18047064
0.29300001 42220.00728097  2048.09265015
0.29400001 41308.26295121  2924.62515539
0.29500001 40423.94029681  1974.30533755
0.29600001 39564.43232078  1762.59554333
0.29700001 38730.30560926  1904.36921696
0.29800001 37922.06013268  2721.28716394
0.29900001 37138.29560930  1671.22338153
0.30000001 36378.73382269  1806.74990083
0.30100001 35643.83050255  1937.59871785
0.30200001 34931.33789384  1587.62938243
0.30300001 34242.52599550  2342.18888897
0.30400001 33577.06190793  1536.15065501
0.30500001 32932.75119894  1813.93602191
0.30600001 32310.72500077  1636.69985240
0.30700001 31710.66293466  1611.53596663
0.30800001 31131.57933254  1587.24364742
0.30900001 30573.10916106  1705.97957196
0.31000001 30036.00883912  2101.76981803
0.31100001 29517.22307691  1657.68732648
0.31200001 29019.36801605  2452.42690715
0.31300001 28540.02110532  1881.92908079
0.31400001 28081.13325529  1857.56705279
0.31500001 27639.96156356  1441.14766416
0.31600002 27216.98214757  1423.58431863
0.31700002 26811.45069887  1662.57813656
0.31800002 26423.99053147  1517.26560816
0.31900002 26053.85176691  2000.93591044
0.32000002 25700.26997838  1484.96166966
0.32100002 25363.56788270  1592.57850276
0.32200002 25043.25995558  1213.34600230
0.32300002 24737.95462190  1322.49111671
0.32400002 24448.68607195  1191.87350244
0.32500002 24174.14524134  1654.96206159
0.32600002 23914.95697449  1524.93730369
0.32700002 23670.10211436  1513.93980292
0.32800002 23440.21349627  1388.12950898
0.32900002 23222.98456864  1494.39912776
0.33000002 23021.05690824  1142.99552962
0.33100002 22830.20207505  1250.63852889
0.33200002 22654.63559045  1697.39865199
0.33300002 22490.68155801  1239.46151936
0.33400002 22339.82417413  1571.60670507
0.33500002 22200.55027902  2014.03401669
0.33600002 22073.34367816  1450.54984850
0.33700002 21956.78561709  1224.52999185
0.33800002 21853.02966333  1444.59459431
0.33900002 21758.94503439  1109.70624931
0.34000002 21676.51999673  1441.38026544
0.34100002 21604.12593215  1440.77922665
0.34200002 21543.00469550  1330.06517289
0.34300002 21490.39309998  1219.79477012
0.34400002 21448.44612724  1553.93999551
0.34500002 21415.42435068  1333.75269173
0.34600002 21392.91076350  1447.55137537
0.34700002 21377.14923464  1115.88724290
0.34800002 21371.70528632  1230.68970720
0.34900002 21374.29819862  1346.58085029
0.35000002 21385.22023482  1238.52508856
