# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.25100001 113517.81654237 5149.16840196
0.25200001 111982.32106708 4249.72928555
0.25300001 110474.81395988 5050.90873321
0.25400001 108995.72410397 4585.99530864
0.25500001 107544.45287566 4542.67790439
0.25600001 106121.01778955 4909.15851521
0.25700001 104723.55089762 6889.76273953
0.25800001 103352.48633446 5621.34199770
0.25900001 102006.91064017 4376.09667352
0.26000001 100686.35415931 5912.80642777
0.26100001 99389.25868088  5077.79746627
0.26200001 98117.01101274  4257.78789436
0.26300001 96867.13525366  4986.72035882
0.26400001 95640.50989912  5702.56567257
0.26500001 94436.28659581  5275.21121886
0.26600001 93252.72146448  5602.15750707
0.26700001 92091.63440532  4072.29226610
0.26800001 90950.64886134  4403.83062626
0.26900001 89829.73913726  4729.53598939
0.27000001 88729.18242515  4688.89386715
0.27100001 87646.95396055  4648.79465806
0.27200001 86584.85329699  3900.21490133
0.27300001 85540.25663617  3515.70471412
0.27400001 84511.99682591  3834.73203745
0.27500001 83503.68474943  4839.87379713
0.27600001 82510.12245689  4799.61405046
0.27700001 81534.96694961  4420.01076752
0.27800001 80575.04246250  4383.68539264
0.27900001 79631.64855444  5351.24703612
0.28000001 78702.77377362  5307.71531450
0.28100001 77789.71487589  5593.85866148
0.28200001 76891.09294833  4569.63787020
0.28300001 76006.80627596  3561.67911067
0.28400001 75136.12778502  3533.27657632
0.28500001 74279.77949563  3505.26296031
0.28600001 73435.92941246  3793.70029301
0.28700001 72605.53580769  3763.87115442
0.28800001 71786.99452568  3111.96635999
0.28900001 70982.32570450  3396.50444573
0.29000001 70188.11756652  3676.45377216
0.29100001 69407.14847909  5776.06316984
0.29200001 68636.99237679  3619.91514930
0.29300001 67878.09132202  2993.42396900
0.29400001 67129.55121887  2970.48278205
0.29500001 66393.23591036  3242.64579536
0.29600001 65666.03628602  3217.96426053
0.29700001 64949.18221667  4064.52001553
0.29800001 64242.50788723  4033.78726119
0.29900001 63545.86911473  2859.56424553
0.30000001 62858.21664440  3973.26806219
0.30100001 62180.87568312  3098.47318197
0.30200001 61511.30583191  3354.82677889
0.30300001 60851.83824279  4717.23472390
0.30400001 60201.00042806  2754.19589997
0.30500001 59558.53393743  3007.11052086
0.30600001 58923.68618410  4070.15381586
0.30700001 58298.23186530  2962.71628366
0.30800001 57680.22068164  2940.82619068
0.30900001 57070.66923937  2653.78624527
0.31000001 56468.73753224  2634.26673060
0.31100001 55873.76623004  2614.89238337
0.31200001 55287.09902719  3114.87530667
0.31300001 54707.55554483  2834.39858698
0.31400001 54136.02079520  2813.71981405
0.31500001 53570.51736843  4316.71249393
0.31600002 53012.79610054  2772.83443133
0.31700002 52461.82701976  3503.40097426
0.31800002 51917.58492683  2484.25655637
0.31900002 51380.32928737  3946.00947611
0.32000002 50850.13639569  2448.43418338
0.32100002 50325.72448153  2916.87912906
0.32200002 49808.63592117  2654.55137711
0.32300002 49296.76737757  2635.40530879
0.32400002 48792.27195914  2616.48570770
0.32500002 48293.48389001  2597.70662145
0.32600002 47801.27039937  3985.90912099
0.32700002 47315.19760733  2793.48939902
0.32800002 46835.46039929  3466.99512023
0.32900002 46361.22795661  2753.85707103
0.33000002 45893.70600366  2962.20939428
0.33100002 45430.77809801  2488.69814206
0.33200002 44975.39500308  2246.52108679
0.33300002 44525.19261299  2453.78348110
0.33400002 44080.88883790  2215.06476900
0.33500002 43642.18873866  3299.34962489
