# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.12900001 741692.94514583 21694.51966802
0.13000001 733381.94649569 14410.95592790
0.13100001 725127.35584627 15793.27455479
0.13200001 716931.33526550 17163.33697534
0.13300001 708795.47048122 21370.18444246
0.13400001 700718.58752984 15608.50727310
0.13500001 692702.72298819 18370.47707978
0.13600001 684747.44627762 22514.49709518
0.13700001 676854.93456681 18214.16714805
0.13800001 669023.58225154 18133.88505204
0.13900001 661256.07812125 18052.29178402
0.14000001 653552.01526678 15204.88835225
0.14100001 645911.57803008 16509.50071309
0.14200001 638335.59863071 17799.98900736
0.14300001 630825.25463319 17713.57398561
0.14400001 623378.10945683 16270.16942429
0.14500001 615998.08928726 14839.39467094
0.14600001 608683.53181076 17447.91426245
0.14700001 601436.88491146 14687.08942242
0.14800001 594253.48927694 15937.87933434
0.14900001 587138.13735413 18494.85219926
0.15000001 580089.18042862 22336.33494630
0.15100001 573107.67611949 14373.54119529
0.15200001 566192.97247381 15592.95519771
0.15300001 559346.85216048 15505.09547356
0.15400001 552565.28727536 15416.57224251
0.15500001 545853.01578395 20436.73787542
0.15600001 539205.38921051 17777.60252128
0.15700001 532628.58469258 22721.93649539
0.15800001 526115.09946525 13802.63028594
0.15900001 519671.32601734 13719.32365442
0.16000001 513292.07873297 17354.40600113
0.16100001 506982.87080339 14783.62121048
0.16200001 500738.62065861 12243.05985305
0.16300001 494561.21202024 18249.30958506
0.16400001 488450.08769392 18133.71036172
0.16500001 482404.92731410 18017.82488583
0.16600001 476426.47421274 11934.48374249
0.16700001 470512.22508918 11856.90863207
0.16800001 464663.00939502 11779.20784434
0.16900001 458880.99887399 15211.90583095
0.17000001 453161.94920735 11623.60454603
0.17100001 447507.27260943 11545.68817853
0.17200001 441917.53230552 13761.31260584
0.17300001 436391.00082082 17084.70848895
0.17400001 430927.97387432 12443.04583326
0.17500001 425527.69608313 16850.89756072
0.17600001 420188.59064157 15618.41065179
0.17700001 414913.32335256 11078.18625674
0.17800001 409697.91799815 14300.50650317
0.17900001 404544.65206407 14199.51795814
0.18000001 399451.73059561 14098.64949732
0.18100001 394420.62026247 13997.98847433
0.18200001 389446.28142352 12828.36111608
0.18300001 384532.35200088 16980.94946653
0.18400001 379676.62160875 12643.23209685
0.18500001 374880.54050720 11505.08433169
0.18600001 370140.15391581 13497.16135019
0.18700001 365456.89992149 16489.41610350
0.18800001 360829.87611357 12275.43296535
0.18900001 356260.69376984 16245.48840346
0.19000001 351742.95749595 12092.92345009
0.19100001 347284.46985427 11001.97252483
0.19200001 342876.77941370 13896.79652628
0.19300001 338524.98505562 10836.18528367
0.19400001 334224.10924701 9776.05565743
0.19500001 329977.00796251 14551.98673880
0.19600001 325781.12418629 9626.83267463
0.19700001 321636.20016839 10507.85515608
0.19800001 317542.26433848 10426.50074230
0.19900001 313498.69303882 10345.45735921
0.20000001 309503.16339286 11197.82498078
0.20100001 305558.09231773 14813.45701568
0.20200001 301659.48867518 11022.63823716
0.20300001 297810.01607562 10935.58430716
0.20400001 294006.96301156 9944.78599391
0.20500001 290249.93217520 9865.59566095
0.20600001 286538.82764901 12455.84342667
0.20700001 282873.28862608 9708.21172455
0.20800001 279251.06717149 14007.23419145
0.20900001 275675.38878329 9552.15267288
0.21000001 272140.87897329 9474.58514934
0.21100001 268650.01934174 11105.99232461
0.21200001 265200.91353115 10167.80350546
0.21300001 261792.87684520 11764.97244162
0.21400001 258426.84311828 10834.54590995
0.21500001 255102.07376764 10744.89985509
0.21600001 251816.03096266 8196.61219536
0.21700001 248570.03304965 8941.06451153
0.21800001 245362.54591706 10478.20801880
0.21900001 242192.47813293 11988.52823442
0.22000001 239060.10145173 10302.29555918
0.22100001 235966.32750457 9429.21489293
0.22200001 232909.19105212 9348.97537089
0.22300001 229886.69804219 12358.70947113
0.22400001 226899.74375733 9189.44005671
0.22500001 223949.91683822 11387.85380972
0.22600001 221032.41799868 9031.38502650
0.22700001 218151.20532143 8952.92588977
0.22800001 215302.40087756 8135.20160187
0.22900001 212485.72160547 7330.75774207
0.23000001 209703.04298527 11625.93725292
0.23100001 206953.01135943 9362.55467668
0.23200001 204233.05512048 9279.32929825
0.23300001 201544.76062115 7074.22143237
0.23400001 198888.32621136 8412.97659663
0.23500001 196260.15936828 6947.60997023
0.23600001 193663.74087675 7573.22094518
0.23700001 191096.06476554 8186.55580176
0.23800001 188557.53834851 11491.63971819
0.23900001 186047.51489755 8037.25302373
0.24000001 183565.44492743 11281.01495161
0.24100001 181112.61105614 6574.38809231
0.24200001 178686.51321466 7815.74845771
0.24300001 176287.79136460 6452.13346915
0.24400001 173915.30897214 8308.80427918
0.24500001 171569.35356367 9496.36416897
0.24600001 169249.70317931 8151.91233926
0.24700001 166955.89833392 8073.98762538
0.24800001 164687.40158816 6151.07474030
0.24900001 162442.97762009 6700.77314383
0.25000001 160224.40731319 6635.69414280
0.25100001 158029.00833421 5973.49679763
0.25200001 155859.65075219 10646.77324658
0.25300001 153713.63468971 7027.78771050
