# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.11800001 833874.39128811 19350.05616120
0.11900001 824972.58981736 16334.45804776
0.12000001 816117.07552006 17775.03074212
0.12100001 807310.76094487 16251.16638338
0.12200001 798552.90956121 19153.29243816
0.12300001 789845.76540453 20567.58470016
0.12400001 781189.32816394 16112.03065254
0.12500001 772584.54251312 17522.21824985
0.12600001 764034.95695521 20376.81326222
0.12700001 755538.60041155 15956.97599269
0.12800001 747097.84197416 14456.34392352
0.12900001 738713.66822973 17285.90065130
0.13000001 730386.87102054 20092.94376885
0.13100001 722117.30197447 15727.71557837
0.13200001 713906.59055245 17090.92458350
0.13300001 705756.63334242 15604.27989883
0.13400001 697666.15169819 19778.83633313
0.13500001 689637.39858689 14068.60359448
0.13600001 681669.77347441 14008.31450540
0.13700001 673765.10790174 15341.63223033
0.13800001 665922.39884602 16661.37920481
0.13900001 658144.43645196 20731.55072590
0.14000001 650430.04495831 15132.25570960
0.14100001 642780.18492731 20536.82787701
0.14200001 635194.86696921 16349.91664694
0.14300001 627676.18972266 13557.80633750
0.14400001 620220.91214031 14838.78602290
0.14500001 612833.71800934 17447.37677476
0.14600001 605512.23490751 18692.16357339
0.14700001 598259.28532137 17265.76378891
0.14800001 591070.20881108 15852.50374821
0.14900001 583950.10383930 24963.86811695
0.15000001 576896.49045561 18293.38857548
0.15100001 569910.90002381 19490.95370049
0.15200001 562993.03769927 15504.82898986
0.15300001 556143.76754383 14131.61380015
0.15400001 549360.20213493 12772.62530239
0.15500001 542646.06255768 13967.71030941
0.15600001 535997.37458403 18934.10815077
0.15700001 529419.89731531 17566.15302199
0.15800001 522906.44787016 14965.58324440
0.15900001 516463.19401694 14874.14068976
0.16000001 510084.92882809 14782.26193520
0.16100001 503777.16405925 13465.96423095
0.16200001 497535.23406323 13381.21075180
0.16300001 491360.51548944 15713.71002716
0.16400001 485252.77081664 12010.00664470
0.16500001 479211.26654183 14318.83332028
0.16600001 473237.06123385 16596.42452104
0.16700001 467327.76034000 12954.32612826
0.16800001 461483.52767771 18717.77276639
0.16900001 455707.27295317 11620.53600900
0.17000001 449994.77692439 13850.83988776
0.17100001 444346.92723132 16049.81176949
0.17200001 438764.54103571 11385.94037755
0.17300001 433245.79126116 12438.48725451
0.17400001 427791.04090482 12352.46688948
